	tconst	Budget	Box_Office	Star_1	Star_2	Star_3	Star_num1	Star_num2	Star_num3	primaryTitle	startYear	runtimeMinutes	genres	directors	writers	averageRating	numVotes	Story_Line	Ratio	Profitable
1865	tt0443946	505900	243092	Peio Azketa	Hicham Chate	Cirilo Fernández	nm1822001	nm2056498	nm1362003	The Sky Turns	2004	110	Documentary	nm1070737	nm1823389,nm1070737	6.9	334	One year in the life of a tiny village in northern Spain.	0.4805129857422698	False
6372	tt6288650	38000000	17274695	Talu Wang	Tian'ai Zhang	Simon Yam	nm6518721	nm9347629	nm0945189	Legend of the Naga Pearls	2017	108	Action,Adventure,Comedy	nm8615623	nm0848826,nm8615624	5.5	613	When the battle of humans and winged tribes escalated,,,the winged tribes lose the battle,the descendants winged tribe seeks for Naga legendary pearl which has ability to release their wings to fly,preventing destruction of their people in the epic fantasy created.	0.4545972248790204	False
3455	tt1235522	35000000	34737199	Mark Wahlberg	Russell Crowe	Catherine Zeta-Jones	nm0000242	nm0000128	nm0001876	Broken City	2013	109	Crime,Drama,Thriller	nm0400441	nm3017566	6.2	72367	In New York City, detective Billy Taggart goes to court for the murder of the rapist Mikey Tavarez, but the Mayor Nicholas Hostetler and the Chief of Police Carl Fairbanks vanish with important evidence and Billy is declared not guilty by the judge; however, he leaves the police department. Seven years later, Billy is a private detective and lives with his girlfriend Natalie Barrow, who is an aspiring actress and the sister of Mikey's victim. His secretary Katy Bradshaw (Alona Tal) is trying to collect part of the debts to save their business. In the week of the elections, Hostetler summons Billy and offers $25,000 to investigate his wife, Cathleen Hostetler, whom he believes is having a love affair. Billy discovers that Cathleen is meeting Paul Andrews, who is the coordinator of the campaign of Jack Valliant, the opponent of Hostetler and favorite in the election. When Paul is found dead on the street, Billy finds that he had been double-crossed by Hostetler and he decides to ...	0.9924913716431036	False
6487	tt7217128	4408859	1698442	Emeline Bayart	Karin Viard	Maya Compagnie	nm1548080	nm0895759	nm9850111	Bécassine!	2018	102	Adventure,Comedy,Family	nm0687913	nm0687913,nm0683875,nm2206926	5.6	197	Bécassine, a naive and clumsy farm girl, is hired as a nanny in a bourgeois family.	0.3852338246167944	False
410	tt0256524	33000000	18914307	Greg Stebner	Woody Allen	John Tormey	nm0824240	nm0000095	nm0868110	The Curse of the Jade Scorpion	2001	103	Comedy,Crime,Mystery	nm0000095	nm0000095	6.7	36094	CW Briggs is a veteran insurance investigator, with many successes. Betty Ann Fitzgerald is a new employee in the company he works for, with the task of reorganizing the office. They don't like each other - or at least that's what they think. During a night out with the rest of the office employees, they go to watch Voltan, a magician who secretly hypnotizes both of them, in order to use them for his dirty schemes. The next evening already, Briggs makes his first robbery, and when he wakes up in the morning he has no memory of it. Things get really complicated when he starts investigating the case. Will he be able to uncover... himself?	0.5731608008133091	False
6572	tt9272138	397949	22337	Jianjun Ding	Bo Dong	Shuilin Long	nm10705955	nm10705956	nm10705957	Out of Crimes	2018	91	Crime	nm10255953	nm10255953	4.9	11	Miner Junpo's daughter is seriously ill and needs urgent treatment. Junpo goes to the mine owner's house to demand money that is owed to him. To no avail. Unable to raise money anywhere for his child's treatment, in desperation Junpo kidnaps his boss's daughter. At the same time, several other unrelated people are involved, either by coincidence or on purpose, in the whole affair. The situation spins out of control. Some will lose their lives, some will be sent to jail, some will have to flee all their lives. A multifaceted story about crime, forgiveness and love in the scenery of the cold Chinese mountains.	0.0561301671064204	False
6129	tt5112054	1355812	629439	Tim Akkerman	Youp Alblas	Binck Bakker	nm9572029	nm9572036	nm7410667	Kappen!	2016	100	Drama,Romance	nm0775097	nm2723792,nm0676577,nm1868544	5.1	1123	When a boy is framed after an act of senseless violence by his friends, they turn against him for trying to tell the truth.	0.4642520760606367	False
737	tt0303933	20000000	57588485	Nick Cannon	Zoe Saldana	Orlando Jones	nm0134244	nm0757855	nm0428963	Drumline	2002	118	Comedy,Drama,Music	nm0831690	nm0770974,nm1202276	5.8	31906	A fish-out-of-water comedy about a talented street drummer from Harlem who enrolls in a Southern university, expecting to lead its marching band's drumline to victory. He initially flounders in his new world, before realizing that it takes more than talent to reach the top.	2.879424106028795	True
2369	tt0775539	13000000	75511123	Columbus Short	Meagan Good	Ne-Yo	nm1551922	nm0328709	nm1666212	Stomp the Yard	2007	109	Drama,Music,Romance	nm1234893	nm0011950,nm0026782	5.4	21172	After the death of his brother, an expert street dancer goes to Georgia to attend Truth University. But his efforts to get an education and woo the girl he likes are sidelined when he joins in his fraternity's effort to win a step dancing competition.	5.80854747626558	True
352	tt0246894	70000000	25852764	Chris Klein	Jean Reno	LL Cool J	nm0005098	nm0000606	nm0005112	Rollerball	2002	98	Action,Sci-Fi,Sport	nm0001532	nm0365938,nm0272511,nm0688282	3.1	24693	In this fast action-packed thriller, Jonathan (Chris Klein), Marcus (LL Cool J), and Aurora (Rebecca Romijn) compete in a dangerous, fierce sport called Rollerball. Although, Jonathan and Marcus try to quit, cruel and vindictive promoter Alexi Petrovich (Jean Reno) encourages them to still participate. Petrovich sends his men to attack them while they are on a trip, but Jonathan survives. In the end during a game of Rollberball, Petrovich attempts a public execution of Jonathan, but the question is will Jonathan get revenge.	0.3693251947239258	False
5745	tt3841424	4817350	3169553	Roland Møller	Louis Hofmann	Joel Basman	nm3435612	nm3836977	nm2056274	Land of Mine	2015	100	Drama,History,War	nm1324710	nm1324710	7.8	29455	In post-World War II Denmark, the Danish government puts their hated German prisoners of war to work clearing the 1.5 million landmines from the western beaches of the country. At one such beach, Sgt. Carl Leopold Rasmussen finds himself in charge of one such labor unit and finds they are largely all inexperienced boys. As the boys struggle to complete and survive their dangerous work, Sgt. Rasmussen's hate for Germans gradually cools as he grows to understand the horrific situation these child soldiers are in even as the mines claim more and more victims. Eventually, the boys and the Sergeant must decide what can be done in a situation that would be later be denounced by later generations as the worst war crime committed by the Danish government in its history.	0.6579452068159451	False
2089	tt0469443	2293330	1433507	Emil Marwa	Khawar Gomi Sadiq	Assad Siddique	nm0555564	nm1717204	nm2055276	Izzat	2005	107	Action,Crime,Thriller	nm1975024	nm0411508,nm1975024	6.3	2011	The three young immigrant boys Wasim, Riaz and Munawar are growing up in the east end of Oslo, Norway. They find school extremely boring and become attracted to the hard boiled gang East Side Crew, which is run by the brothers Sadiq and Khalid. Petty theft soon develops in to drug dealing, violence and murder.	0.6250763627230435	False
1147	tt0363780	1500000	526245	Rory Culkin	Alec Baldwin	Jill Hennessy	nm0191412	nm0000285	nm0005007	Lymelife	2008	95	Comedy,Drama,Romance	nm0553796	nm0553796,nm0553855	6.9	13470	"Set in the late 70's, seen through the innocent eyes of a fifteen year old boy, SCOTT, ""Lymelife"" is a unique take on the dangers of the American Dream. This funny, sad, violent and sometimes tragic look at first love, family dynamics and divorce weaves an intricate tapestry of American life during a time of drastic economic and emotional change."	0.3508297661134893	False
2846	tt0964587	9762550	29066681	Talulah Riley	Rupert Everett	Gemma Arterton	nm1506908	nm0000391	nm2605345	St. Trinian's	2007	97	Comedy,Family	nm0662529,nm0859877	nm0039328,nm1718864,nm1319618,nm0780714,nm2227956	5.8	20607	St Trinians proudly continues to represent the unacceptable face of British education. When the new Minister of Education announces he will personally sort the place out he doesn't realise either the enormity of the task or that the headmistress is an old flame. The school is anyway threatened with closure by their bank; with the staff clearly a waste of space the girls realise the responsibility to save the day falls on them. Perhaps ripping off the girl with the pearl earring (a painting by Johannes Vermeer) might be the way out?	2.9773653423167783	True
1671	tt0421974	20236000	10720864	Benoît Magimel	Clovis Cornillac	Géraldine Pailhas	nm0536095	nm0180404	nm0656768	Sky Fighters	2005	102	Action,Adventure	nm0000091	nm1207193,nm0000091,nm0153249,nm0879853	5.8	4141	"While in an international fair of exhibition of airplanes, a French Mirage 2000 of the last generation vanishes and pilots Antoine ""Walk'n"" Marchelli and Sebastian ""Fahrenheit"" Vallois are assigned to locate the plane that is flying in a hiding position below a commercial airplane. The pilots order the Mirage to return to the base, but the Mirage attacks Fahrenheit instead, and Walk'n immediately shots the Mirage saving his partner. However, the evidences are forged by the leader of a force called ""Special Missions"" and Walk'n is falsely accused of not following the orders and discharged from the air force. Blacklisted in the commercial flight companies, Walk'n and Fahrenheit are pressed to join the Special Missions team, where they disclose betrayals in a net of espionage."	0.5297916322498699	False
5512	tt3276924	8900000	3777046	Robert De Niro	Jeffrey Dean Morgan	Dave Bautista	nm0000134	nm0604742	nm1176985	Heist	2015	93	Action,Crime,Thriller	nm1470993	nm1737241,nm2809844	6.1	25275	When their attempt to rob a casino owned by the feared gangster Pope goes awry and a shootout ensues, Vaughn and Cox are forced to flee on foot and hijack city Bus 657 and take the passengers hostage.	0.4243871433272873	False
292	tt0236348	39000000	14866015	Rachael Leigh Cook	Tara Reid	Rosario Dawson	nm0000337	nm0005346	nm0206257	Josie and the Pussycats	2001	98	Comedy,Music	nm0253323,nm0438226	nm0438226,nm0253323,nm0326406,nm0213642,nm0326402	5.3	20721	For years, the record industries have inserted subliminal messages into music so that they can turn teenagers into brain dead zombies who do nothing but buy, buy, buy. And whenever the musician or band finds out the truth, the record company silences them to keep the truth from coming out. When the hot boy band DuJour discovers this, their manager, Wyatt Frame, under his evil, corrupt boss, Fiona, has the plane they are flying in crashed and him looking for a new band to use for their evil schemes. Enter Josie, the ditsy Melody, and the tough Valerie, from Josie and the Pussycats, a small band who wants to make it to the big time. When they are discovered by Wyatt, they give in and become big rock stars. But will they find out that they are just pawns for the record industry or will fame take them over?	0.3811798620210292	False
955	tt0335119	12000000	29882846	Scarlett Johansson	Colin Firth	Tom Wilkinson	nm0424060	nm0000147	nm0929489	Girl with a Pearl Earring	2003	100	Biography,Drama,Romance	nm0916424	nm1256768,nm0381757	6.9	68834	"This film, adapted from a work of fiction by author Tracy Chevalier, tells a story about the events surrounding the creation of the painting ""Girl With a Pearl Earring"" by 17th century Dutch master Johannes Vermeer. Little is known about the girl in the painting, it is speculated that she was a maid who lived in the house of the painter along with his family and other servants, though there is no historical evidence. This masterful film attempts to recreate the mysterious girl's life. Griet, played by Scarlett Johansson, is a maid in the house of painter Johannes Vermeer, played by British actor Colin Firth. Vermeer's wealthy patron and sole means of support, Van Ruijven, commissions him to paint Griet with the intent that he will have her for himself before it is finished. She must somehow secretly pose for the crucial painting without the knowledge of Vermeer's wife, avoid Van Ruijven's grasp, and protect herself from the cruel gossip of the world of a 17th century servant."	2.49023695914692	True
74	tt0164184	68000000	193921372	Ben Affleck	Morgan Freeman	Ian Mongrain	nm0000255	nm0000151	nm1172817	The Sum of All Fears	2002	124	Action,Drama,Thriller	nm0004675	nm0002007,nm0001921,nm0002417	6.4	98007	When the President of Russia suddenly dies, a man whose politics are virtually unknown succeeds him. This change in political leaders sparks paranoia amongst American C.I.A. officials, so C.I.A. Director Bill Cabot (Morgan Freeman) recruits young analyst Jack Ryan (Ben Affleck) to supply insight and advice on the situation. Then the unthinkable happens: a nuclear bomb explodes in a U.S. city, and America is quick to blame the Russians.	2.8517848404149286	True
417	tt0257756	42000000	63781810	Jim Caviezel	Morgan Freeman	Ashley Judd	nm0001029	nm0000151	nm0000171	High Crimes	2002	115	Crime,Drama,Mystery	nm0002083	nm0277511,nm0954693,nm0081060	6.4	36392	High powered lawyer Claire Kubik finds her world turned upside down when her husband, who she thought was Tom Kubik, is arrested and is revealed to be Ron Chapman. Chapman is on trial for a murder of Latin American villagers while he was in the Marines. Claire soon learns that to navigate the military justice system, she'll need help from the somewhat unconventional Charlie Grimes; meanwhile, Claire's sister, Jackie, is falling in love with wet-behind-the-ears Lieutenant Embry assigned as the official defense lawyer. And most of the eyewitnesses have rather too conveniently died.	1.518614487652036	True
1570	tt0412536	20000000	13451186	Matthew Goode	Patrick Malahide	Hayley Atwell	nm0328828	nm0538869	nm2017943	Brideshead Revisited	2008	133	Drama,Romance	nm0418982	nm0203577,nm0110591,nm0915284	6.7	11578	WWII. Charles Ryder, in his civilian life, rose out of his middle class London background, which includes being an atheist and having a distant relationship with his eccentric father, to become an up and coming artist. He is currently an army officer, who is stationed at a makeshift camp set up at Brideshead estate before imminently getting shipped into battle. The locale, which is not unfamiliar to him, makes him reminisce about what ended up being his doomed relationship with Brideshead's owners, the Flytes, an ostentatiously wealthy family. Charles first met Sebastian Flyte when they both were students at Oxford, where Sebastian surprisingly welcomed Charles into his circle of equally wealthy, somewhat stuck up and flamboyant friends. Charles ended up getting caught up in Sebastian's family struggles, where Sebastian used excessive alcohol to deal with the pain resulting from his family relationships. Although Charles and Sebastian were more than just friends, Charles ultimately ...	0.6725592663720367	False
2815	tt0951288	400000	863863	Oliver Møller-Knauer	Ronja Mannov Olesen	Helene Reingaard Neumann	nm1604406	nm1356078	nm2530407	When a Man Comes Home	2007	100	Comedy	nm0899121	nm0442337,nm0750000,nm0899121	5.6	748	A small provincial town is buzzing with excitement: the town's most illustrious son, a world-famous opera singer, is coming home. Meanwhile, Sebastian, a kitchen boy who is as good as married, falls head over heels in love with the new maid, Maria. Their love affair, along with rumours that the opera singer and the kitchen boy are related, turns the town upside down, threatening to ruin everyone's high expectations and the opera singer's triumphant return.	2.159652100869748	True
4497	tt1801071	5400000	2273204	Milos Bikovic	Petar Strugar	Armand Assante	nm2161450	nm3874849	nm0000800	See You in Montevideo	2014	141	Adventure,Biography,Comedy	nm0081449	nm0081449,nm0102492,nm0901286	8.3	6130	A football team from Belgrade, in the former Yugoslavia, gets a chance to go to the First World Football Championship, but things get complicated along the way.	0.4209636257474767	False
1605	tt0416236	90000000	162839667	Freddie Highmore	Sarah Bolger	David Strathairn	nm0383603	nm0092961	nm0000657	The Spiderwick Chronicles	2008	96	Action,Adventure,Drama	nm0914134	nm0456732,nm1183854,nm0000626,nm1650403,nm1649488	6.5	82769	Once upon a time, upon moving into the run-down Spiderwick Estate with their mother, twin brothers Jared and Simon Grace, along with their sister Mallory, find themselves pulled into an alternate world full of fairies and other creatures. Unable to explain the strange disappearances and accidents that seem to be happening on a daily basis, the family blames it all on Jared. When he, Simon and Mallory investigate what's really going on, they uncover the fantastic truth of the Spiderwick estate and of the creatures that inhabit it.	1.8093296132296708	True
668	tt0294357	35000000	11705002	Clive Owen	Angelina Jolie	Linus Roache	nm0654110	nm0001401	nm0730070	Beyond Borders	2003	127	Adventure,Drama,Romance	nm0132709	nm1047021	6.5	25363	Beyond Borders is an epic tale of the turbulent romance between two star-crossed lovers set against the backdrop of the world's most dangerous hot spots. Academy Award winner Angelina Jolie stars as Sarah Jordan, an American living in London in 1984. She is married to Henry Bauford son of a wealthy British industrialist, when she encounters Nick Callahan a renegade doctor, whose impassioned plea for help to support his relief efforts in war-torn Africa moves her deeply. As a result, Sarah embarks upon a journey of discovery that leads to danger, heartbreak and romance in the far corners of the world.	0.33442861901632515	False
480	tt0267633	2724410	508969	Gildor Roy	Yves Pelletier	Diane Lavallée	nm0747027	nm0671149	nm0491751	Karmina 2	2001	97	Comedy,Horror,Romance	nm0671105	nm0671105,nm0671149	5.6	311	Following the first Karmina, all the vampires need to take the special potion to be humans. The potion is made by Ghislain Chabot and sent to Transylvania for the others vampires. Chatbot's wife isn't a vampire yet and she wishes to be one. Ghislain doesn't want that, because of all the rules and responsibilities of being a vampire, so she throws Ghislain out of the house without the potion. Ghislain tries to get back in there to get the potion for the others with the help of Vlad. Meanwhile, Philippe comes to Montréal because they're running out of potion in Transylvania.	0.18681799478859834	False
2851	tt0968264	25000000	15481161	Robin Wright	James McAvoy	Tom Wilkinson	nm0000705	nm0564215	nm0929489	The Conspirator	2010	122	Crime,Drama,History	nm0000602	nm0003833,nm0077052	6.9	26599	In the wake of Abraham Lincoln's assassination, seven men and one woman are arrested and charged with conspiring to kill the President, the Vice-President, and the Secretary of State. The lone woman charged, Mary Surratt, 42, owns a boarding house where John Wilkes Booth and others met and planned the simultaneous attacks. Against the ominous back-drop of post-Civil War Washington, newly-minted lawyer, Frederick Aiken, a 28-year-old Union war-hero, reluctantly agrees to defend Surratt before a military tribunal. As the trial unfolds, Aiken realizes his client may be innocent and that she is being used as bait and hostage in order to capture the only conspirator to have escaped a massive manhunt, her own son.	0.6192464152301433	False
1190	tt0367959	50000000	82169884	Gaspard Ulliel	Rhys Ifans	Li Gong	nm0880484	nm0406975	nm0000084	Hannibal Rising	2007	121	Adventure,Crime,Drama	nm0916424	nm0365383	6.2	98830	Mischa and Hannibal, baby brother and sister, are inseparable; it is their love for each other that ties their bond. Their companionship is forever binding, until, with their family, while hiding from the Nazi war machine a twisted set of circumstance sets the pace for a most vicious attack on the future of one Hannibal Lecter for the sworn vengeance for the brutal killing of his baby sister. Years later, we find Hannibal, the teenager, setting up in Paris, and living with his aunt Lady Murasaki Shikibu and studying at medical school here he finds his forte. Still searching for his sister's murderers, still bitter and still ever hopeful of satisfying his desire for retribution. This chance arrives, and soon we are to learn that for a pound of flesh lost a pound of flesh must be repaid. This is the horrific tale of justice and honor, a young man's growing pains that will have the guilty paying with more than just flesh and bone. This is the up and rising tale of the young Hannibal, ...	1.6433976471320468	True
5047	tt2345759	125000000	409231607	Tom Cruise	Sofia Boutella	Annabelle Wallis	nm0000129	nm1154749	nm1834115	The Mummy	2017	110	Action,Adventure,Fantasy	nm0476064	nm0462895,nm0003160,nm0476378,nm3123612,nm0476064,nm0525886	5.5	159288	Though safely entombed in a crypt deep beneath the unforgiving desert, an ancient princess, whose destiny was unjustly taken from her, is awakened in our current day bringing with her malevolence grown over millennia, and terrors that defy human comprehension.	3.2738528298091776	True
3700	tt1361809	2808000	4623138	Anushka Shetty	Sonu Sood	Divya Nagesh	nm2011932	nm1399243	nm4318252	Arundhati	2009	131	Horror,Mystery,Thriller	nm0707952	nm0157977,nm0796106	7.3	2439	Arundhati is a descendant of the Gadwal ruling dynasty. It is agreed that she will marry Rahul. A few days before her marriage, she comes to the fort of Gadwal from Hyderabad. There she is drawn to a nearby abandoned fort where an evil is lying. When the evil gets loose, Arundhati is forced to fight again like her great-grandmother Jejamma had to in her time.	1.6464160803361538	True
2018	tt0460780	60000000	13097915	Jason Statham	Ron Perlman	Ray Liotta	nm0005458	nm0000579	nm0000501	In the Name of the King: A Dungeon Siege Tale	2007	127	Action,Adventure,Fantasy	nm0093051	nm0852298,nm2451367,nm1356655,nm1642927	3.8	42719	Set in the kingdom of Ehb, the story follows Farmer (Jason Statham), who was adopted by his village. When Farmer's wife, Solana (Claire Forlani), and his son leave to sell vegetables at the town of Stonebridge, Farmer's farm is attacked by creatures called Krugs. With the help of his friend and neighbor Norrick (Ron Perlman), he travels to Stonebridge where his wife and son are. Before he arrives, the Krugs, controlled by the wizard Gallian (Ray Liotta), kill his son and capture his wife. Farmer, with the help of Bastian (Will Sanderson), his brother-in-law, and Norrick sets out to find and rescue his wife. The King's nephew Fallow (Matthew Lillard) is conspiring with the wizard Gallian to take over the kingdom led by King Konreid ('Burt Reynolds').	0.21829857969502367	False
2149	tt0477337	5000000	4382251	Artyom Tkachenko	Chulpan Khamatova	Leonid Gromov	nm1588798	nm0451122	nm0343045	The Sword Bearer	2006	108	Action,Romance,Sci-Fi	nm0946157	nm2266019,nm2024841	4.8	795	A young boy's dreams of glory and war turn into a bitter nightmare as his father's kingdom is overrun by an invading army. Lost and alone in the woods, he finds an ancient sword that promises him the ability to claim his vengeance.	0.8764500247099951	False
6398	tt6499752	5000000	14377130	Logan Marshall-Green	Melanie Vallejo	Steve Danielsen	nm1334869	nm2177933	nm2114889	Upgrade	2018	100	Action,Sci-Fi,Thriller	nm1191481	nm1191481	7.5	116085	Director/writer Leigh Whannell presents a vision of a Utopian future where technology is supremely ubiquitous. In that future, technophobe Grey Trace (Logan Marshall-Green) embraces an experimental computer chip implant named STEM after a mugging incident leaves him paralyzed and his wife dead. STEM proves to possess its own agency, making for an unpredictable ally in Trace's vendetta.	2.875425424914915	True
3093	tt1092633	10000000	15300714	Jeremy Piven	Ving Rhames	David Koechner	nm0005315	nm0000609	nm0462712	The Goods: Live Hard, Sell Hard	2009	89	Comedy	nm0107366	nm2228267,nm2228305	5.8	19654	"In a desperate attempt to save his rapidly failing used car dealership, Ben Selleck hires a crack team of ""car mercenaries"" to ramp up sales during the Fourth of July weekend. Led by the fast-talking, foul-mouthed, self-assured Don ""The Goods"" Ready, the group has three days to sell over 200 cars. But as Don undertakes his newest mission, and quickly falls for the boss's daughter Ivy, he realizes he'll have to trust more than his cars and his crafty skills in deceit to make a success out of the daunting weekend."	1.5300712469928752	True
2325	tt0758799	8000000	655467	Assaad Bouab	Carmen Lebbos	Hichem Rostom	nm1492213	nm0495477	nm0744599	Whatever Lola Wants	2007	115	Drama	nm0043953	nm0043953,nm1965665,nm0766635	6.5	1112	A New York postal worker travels to Egypt to take belly dancing lessons from a legendary instructor.	0.08193336475832941	False
4465	tt1780762	2000000	294696	Eli Roth	Ariel Levy	Nicolás Martínez	nm0744834	nm1642639	nm1169229	Aftershock	2012	89	Action,Adventure,Horror	nm1240647	nm1240647,nm0744834,nm3771227	4.8	10647	After an earthquake erupts in Chile, tourist discover that a neighboring prison in the area collapsed in the event, and all surviving criminals managed to break free. Soon they learn that the most terrifying thing, more threatening that Mother Nature, is what she created.	0.14734792632603685	False
1297	tt0378262	2500000	696126	Albert Asadullin	Elena Shulman	Yevgeniya Igumnova	nm1434407	nm1469013	nm0407282	Little Longnose	2003	82	Animation,Fantasy,Musical	nm0538770,nm0111588,nm0155940,nm0581790	nm0310018,nm1650390,nm0155722	6.8	634	After kidnapping the King's daughter and turning her into something definitely not human, pure-hearted Jacob is exactly what the wicked witch needs as the final ingredient in her sinister scheme to destroy the peaceful Kingdom. When Jacob refuses to collaborate, she curses him with a hunched back and a really, really long nose.	0.2784502886198846	False
1213	tt0370263	60000000	172544654	Sanaa Lathan	Lance Henriksen	Raoul Bova	nm0005125	nm0000448	nm0100556	Alien vs. Predator	2004	101	Action,Adventure,Horror	nm0027271	nm0639321,nm0795953,nm0859029,nm0859049,nm0027271	5.6	175941	When a private satellite encounters an unidentified source of heat in Antarctica and it is found to be a pyramid buried deep underground , a search team comprising of top-of-the-line archaeologists and engineers is sent to Antarctica to find out more . Once there , the team comes across signs which indicate that the place is inhabited by an unknown alien species . It is not long before the aliens begin to hunt the team members . At the same time , a trio of coming-of-age Predators have arrived to collect the skulls of the aliens as trophies , and the humans are caught between a deadly battle between the two warring species .	2.875744185404264	True
4088	tt1576450	2327140	291149	Ludivine Sagnier	Diane Kruger	Denis Ménochet	nm0756203	nm1208167	nm1616970	Lily Sometimes	2010	103	Drama	nm0077911	nm0077911,nm0036331	6.2	1189	The brutal death of a mother leaves her two daughters in mourning. Clara, very rigid and strict, will have to take care of her sister Lily, wild, immature, whimsical and uninhibited girl. The elder, a model city woman married to Pierre, a lawyer with a bright future, decides to leave the capital and her home to devote herself to Lily, who was left alone in the family home in the countryside. Clara under the influence of Lily gradually questioning her life and takes to taste a certain freedom.	0.1251101673684577	False
3240	tt1166098	404720	101406	Eike Weinreich	Karoline Eichhorn	Peer Martiny	nm2424550	nm0251526	nm0554208	Die Eisbombe	2008	92	Comedy,Drama,Romance	nm2579540	nm1815311,nm2579540	6.2	110	A young man flees his parents' house, especially his neurotic mother, after a clod of initially unknown material hits the roof of his parents' house.	0.250557791663887	False
6396	tt6487050	500000	725286	The Avett Brothers	Scott Avett	Seth Avett	nm2652674	nm5424599	nm5426298	May It Last: A Portrait of the Avett Brothers	2017	104	Documentary,Music	nm0031976,nm0094397	\N	8.6	476	"An intimate documentary following acclaimed North Carolina band the Avett Brothers, as they create their 2016 hit album ""True Sadness."""	1.4505690988618023	True
454	tt0265029	46000000	138307673	Julia Roberts	John Cusack	Billy Crystal	nm0000210	nm0000131	nm0000345	America's Sweethearts	2001	102	Comedy,Romance	nm0005387	nm0000345,nm0865847	5.7	52772	In the midst of a nasty public breakup of married movie stars, a studio publicist scrambles to put a cap on the escalating situation as the couple's latest film has found its only print kidnapped by the director.	3.006688478115468	True
4430	tt1748227	7500000	9929706	Josh Stewart	Emma Fitzpatrick	Christopher McDonald	nm1577637	nm3500747	nm0001520	The Collection	2012	82	Horror,Thriller	nm1729303	nm1733317,nm1729303	6.1	42880	"Arkin escapes with his life from the vicious grips of ""The Collector"" during an entrapment party where he adds beautiful Elena to his ""Collection."" Instead of recovering from the trauma, Arkin is suddenly abducted from the hospital by mercenaries hired by Elena's wealthy father. Arkin is blackmailed to team up with the mercenaries and track down The Collector's booby trapped warehouse and save Elena."	1.3239606234719168	True
4235	tt1649780	10000000	1105020	Jane Fonda	Catherine Keener	Elizabeth Olsen	nm0000404	nm0001416	nm0647634	Peace, Love & Misunderstanding	2011	96	Comedy,Drama,Music	nm0000915	nm3898253,nm3895605	5.9	7552	An uptight NYC lawyer takes her two teenagers to her hippie mother's farmhouse upstate for a family vacation. What was meant to be a weekend getaway quickly turns into a summer adventure of romance, music, family secrets and self-discovery.	0.11050198894980112	False
401	tt0255321	2231440	1945689	Anthony Borrows	Ian Hart	Claire Hackett	nm0097405	nm0001324	nm0045661	Liam	2000	90	Drama	nm0001241	nm0569568	6.9	2379	A morality tale of xenophobia, religious prejudice, mob violence, poverty, and their effect on two children in Liverpool during the Depression. When a shipyard closes, Liam and Teresa's dad loses his job. Liam, who's about 8, making his first Holy Communion, gets a regular dose of fire and brimstone at church. Teresa, about 13, has a job as a maid to the Jewish family that owns the closed shipyard. The lady of that house is having an affair, and Teresa becomes an accomplice. Liam stutters terribly, especially when troubled. Dad comes under the sway of the Fascists, who blame cheap Irish labor and Jewish owners. A Molotov cocktail brings things to a head.	0.8719428387306678	False
586	tt0283026	10000000	34411240	Jesse Bradford	Erika Christensen	Shiri Appleby	nm0103038	nm0159776	nm0032375	Swimfan	2002	85	Drama,Thriller	nm0689852	nm0092035,nm1152459	5.1	18265	New Jersey high school senior Ben Cronin is a former juvenile delinquent, whose past criminal behavior was fueled by and for drug use. He credits the support of his now long time girlfriend Amy Miller and getting into competitive swimming as the primary reasons for turning his life around, which includes working part-time at the hospital where his single mother works. He has become the star swimmer of his high school team, so much so that scouts from Stanford University are coming in a week's time to watch Ben swim. Ben has a new swim fan in Madison Bell, a recent transfer student to Ben's high school. Despite Ben making it clear that he is in a committed relationship, Madison seduces him, the seduction to which he succumbs. They agree afterward that their encounter was a one-time only event, but Ben slowly comes to the realization that despite Madison's assertions to the contrary, she has more in mind with him. He feels her constant unspoken threats to expose their tryst and ...	3.4411236558876346	True
5177	tt2486682	1500000	124244	Ahmed Hassan	Khalid Abdalla	Magdy Ashour	nm5594299	nm2043234	nm5595158	The Square	2013	108	Documentary,News	nm0636675	\N	8.1	8127	'The Square' is an intimate observational documentary that tells the real story of the ongoing struggle of the Egyptian Revolution through the eyes of six very different protesters. Starting in the tents of Tahrir in the days leading up to the fall of Mubarak, we follow our characters on a life-changing journey through the euphoria of victory into the uncertainties and dangers of the current 'transitional period' under military rule, where everything they fought for is now under threat or in balance.	0.08282927811381459	False
2412	tt0795368	9000000	46789413	Matthew Macfadyen	Peter Dinklage	Ewen Bremner	nm0532193	nm0227759	nm0001971	Death at a Funeral	2007	90	Comedy	nm0000568	nm1918877	7.4	103635	Daniel is a decent young man, married to Jane, still living at his father's home. When his father dies, it is up to him to organize his funeral. On this painful morning, the suitable grave expression on his face, Daniel is ready to welcome his father's friends and relatives. But preserving the dignity inherent in such circumstances will be a hard task. Particularly with an undertaker who botches his work, the return from the USA of his famous but selfish brother, his cousin's fiancé who has accidentally ingested drugs, the presence a moron who takes advantage of the sad event to win back the heart (or rather the body) of a woman who is about to marry another, of a handicapped old uncle who is also the most unbearable pain in the neck. To cap it all, Daniel notices the presence among the mourners of a mysterious dwarf nobody else seems to know...	5.1988230890196565	True
